Wall time,Step,Value
1702402791.8426456,112000,38.4047737121582
1702402794.2194512,112150,38.47011947631836
1702402803.7583234,112750,38.278167724609375
1702402806.1416178,112900,38.2444953918457
1702402810.129813,113150,37.31718826293945
1702402826.2883008,114100,38.236080169677734
1702402839.311093,114900,25.382431030273438
1702402847.6050751,115400,38.03609085083008
1702402857.1186838,116000,36.22115707397461
1702402878.131719,117300,37.88128662109375
1702402885.658221,117750,37.712772369384766
1702402913.2629235,119500,37.277400970458984
1702402914.0183704,119550,37.318092346191406
1702402915.5442042,119650,36.71760559082031
1702402950.6854792,121850,34.4663200378418
1702402958.011313,122250,30.749608993530273
1702402966.257794,122700,32.993648529052734
1702402968.0470455,122800,31.56865692138672
1702402972.6664858,123050,31.081247329711914
1702402995.9681919,124300,33.335533142089844
1702402996.8734112,124350,32.87309265136719
1702403005.4969945,124850,38.26498031616211
1702403007.291418,124950,38.189971923828125
1702403011.7378209,125200,37.811832427978516
1702403024.168592,125900,38.3668212890625
1702403029.5114107,126200,37.85686492919922
1702403037.100626,126650,33.47168731689453
1702403049.4912956,127400,34.741859436035156
1702403052.9332483,127600,36.239261627197266
1702403054.5866048,127700,36.8706169128418
1702403075.6233838,128950,35.07742691040039
1702403094.8936596,130050,25.197526931762695
1702403100.23896,130350,24.070493698120117
1702403115.0047112,131200,37.86958694458008
1702403120.3005543,131500,37.40686798095703
1702403143.6201005,132800,26.13072395324707
1702403163.0686193,133950,38.81462097167969
1702403169.065858,134300,43.005096435546875
1702403173.0975447,134550,43.11952209472656
1702403185.0641797,135200,42.88633346557617
1702403191.346931,135550,43.318634033203125
1702403204.3024492,136300,43.76895523071289
1702403217.6077278,137050,44.01963424682617
1702403229.6960227,137750,43.35017776489258
1702403260.498412,139500,43.654327392578125
1702403261.3791096,139550,43.57183074951172
1702403262.2884676,139600,43.384761810302734
1702403332.933261,143650,41.69861602783203
1702403340.406549,144100,41.21101760864258
1702403347.4112132,144550,42.11945343017578
1702403352.2679617,144850,42.213890075683594
1702403371.1781578,146050,42.07925796508789
1702403408.5072322,148400,42.11152267456055
1702403415.1969414,148800,42.16679382324219
1702403446.9281685,150600,40.41822814941406
1702403461.6255884,151400,43.26301574707031
1702403464.2676306,151550,43.33955001831055
1702403470.520161,151950,43.647361755371094
1702403472.7951784,152100,43.65688705444336
1702403491.789976,153300,41.94337463378906
1702403494.9441762,153500,42.34520721435547
1702403518.9300978,155000,39.81736755371094
1702403537.0792983,156150,39.727928161621094
1702403548.8532982,156900,40.306697845458984
1702403563.1661658,157800,43.93173599243164
1702403567.88538,158100,44.28050994873047
1702403580.4429593,158900,44.04153823852539
1702403594.810934,159800,44.662139892578125
1702403595.61073,159850,44.72840881347656
1702403622.414729,161550,42.826377868652344
1702403630.116576,162050,41.83450698852539
1702403632.3853655,162200,41.93531799316406
1702403633.1592095,162250,41.56721115112305
1702403634.6857884,162350,41.711238861083984
1702403635.4636278,162400,41.775184631347656
1702403655.2983522,163650,43.17404556274414
1702403682.72886,165300,40.35248565673828
1702403701.4870722,166450,43.53679275512695
1702403715.213315,167300,43.1530647277832
1702403739.1508567,168850,42.97748947143555
1702403760.120312,170200,43.03386688232422
1702403764.0492878,170450,43.20720672607422
1702403781.0449128,171550,41.5537223815918
1702403795.8079517,172500,42.46251678466797
1702403797.336779,172600,42.64336013793945
1702403802.7429445,172950,42.900089263916016
1702403807.3864784,173250,43.04732131958008
1702403819.7701914,174050,40.70150375366211
1702403842.3530836,175500,41.539947509765625
1702403844.7241788,175650,41.60540008544922
1702403863.9013183,176900,36.45459747314453
1702403884.158858,178200,43.36531066894531
1702403898.3562229,179050,42.83418273925781
1702403914.2348812,180050,32.87992858886719
1702403927.9696372,180950,41.39849090576172
1702403929.4399278,181050,41.355587005615234
1702403930.9141648,181150,41.879852294921875
1702403935.446426,181450,42.56511306762695
1702403959.1273923,182850,41.64718246459961
1702403970.9567332,183550,43.52129364013672
1702404019.320388,186350,43.302513122558594
1702404022.8825874,186550,43.203128814697266
1702404029.6770809,186950,42.69967269897461
